"asset_id","relative_path","asset_type","dimensions","source_section","page_or_function","content_or_visual_summary","sensitivity_or_risk","review_status"
"MD-001","私人与共享/第五十六周周报 3aa96e595da8800e9128e45facd8bbd0.md","markdown","","全局","周报/系统板块汇总","页面清单、字段、算法说明、配置及运维说明","含明文凭据、内网地址、账户配置和运维路径；报告中已脱敏","reviewed_full"
"ZIP-001","私人与共享/第五十六周周报/AI景气度仪表盘_files.zip","archive","","主动投研","AI景气度仪表盘网页资源","32 个网页资源的原始压缩包","可能含内部路由、接口、静态数据和个人信息","reviewed_inventory"
"CSV-001","私人与共享/第五十六周周报/委托数据-仿真AUG交易-所有(20260727144122085).csv","csv","2474x20","交易风控/金葵花 Genesis","OMS 委托导出","一行一笔委托快照；标的、方向、数量价格、状态、时间、订单标识、备注和操作员","内部账户/操作员标识；19 位本地委托号需按字符串","reviewed_full"
"CSV-002","私人与共享/第五十六周周报/持仓数据-仿真AUG交易-详细(20260727144114040).csv","csv","802x30","交易风控/金葵花 Genesis","OMS 持仓导出","一行一证券持仓快照；行情、损益、市值、仓位、数量、金额、账户和时间","内部账户标识；目标字段全空；创建时间存在 0","reviewed_full"
"IMG-000","私人与共享/第五十六周周报/image.png","png","749x867","工作台/分享方案","黑灰名单监控","黑底单标的多曲线、红色网格、成交量副图、自选与编辑","截图含实时业务数据","reviewed_visual"
"IMG-001","私人与共享/第五十六周周报/image 1.png","png","742x861","工作台/分享方案","策略监控","黑底多卡片策略网格；卡头含组合/策略名和日期，卡体无曲线","截图含内部策略名称","reviewed_visual"
"IMG-002","私人与共享/第五十六周周报/image 2.png","png","739x865","工作台/分享方案","市场总览","黑底多指数小倍图；分时、涨跌和成交量","市场数据快照","reviewed_visual"
"IMG-003","私人与共享/第五十六周周报/image 3.png","png","739x593","数据资讯/数据中心","财经新闻","浅色资讯流；栏目、关注、日期、关键词、原文和 AI 辅助入口","新闻内容受来源许可约束","reviewed_visual"
"IMG-004","私人与共享/第五十六周周报/image 4.png","png","742x588","数据资讯/数据中心","互动问答","证券问答卡；来源、日期、关键词筛选","公开问答内容但需遵循来源许可","reviewed_visual"
"IMG-005","私人与共享/第五十六周周报/image 5.png","png","742x869","数据资讯/数据中心","数据字典","左侧数据源树与右侧表/字段详情","可能暴露内部库表命名","reviewed_visual"
"IMG-006","私人与共享/第五十六周周报/image 6.png","png","737x785","数据资讯/数据中心","投资日历","年月选择、事件类型标签和多颜色月历事件","业务日历快照","reviewed_visual"
"IMG-007","私人与共享/第五十六周周报/image 7.png","png","750x322","数据资讯/数据中心","Level2 数据","多条件过滤、精度/单位切换、委托成交表","交易数据可能受授权约束","reviewed_visual"
"IMG-008","私人与共享/第五十六周周报/image 8.png","png","737x873","数据资讯/数据中心","行情 K 线","黑底蜡烛图、价格摘要、成交量、复权/视图切换","行情数据快照","reviewed_visual"
"IMG-009","私人与共享/第五十六周周报/image 9.png","png","750x870","数据资讯/数据中心","行情分时","黑底分时线、均价/涨跌/成交额和成交量","行情数据快照","reviewed_visual"
"IMG-010","私人与共享/第五十六周周报/image 10.png","png","741x880","数据资讯/数据中心","期指基差-套利分析","黑底双图、标签页、右侧筛选、基差/贴水和 K 线","研究数据快照","reviewed_visual"
"IMG-011","私人与共享/第五十六周周报/image 11.png","png","734x866","数据资讯/数据中心","期指基差-年度对比","按月份对齐多年序列、悬浮读数、系列筛选","研究数据快照","reviewed_visual"
"IMG-012","私人与共享/第五十六周周报/image 12.png","png","752x876","数据资讯/数据中心","期指基差-合约对比","多合约序列叠加、筛选和悬浮读数","研究数据快照","reviewed_visual"
"IMG-013","私人与共享/第五十六周周报/image 13.png","png","743x126","数据资讯/基础数据","资产单元","导入、关键词、刷新、新建、列分组和资产单元表","含 IP/MAC 类敏感字段表头","reviewed_visual"
"IMG-014","私人与共享/第五十六周周报/image 14.png","png","731x55","数据资讯/基础数据","资产单元补充列","备注、状态、ORS、结算、AMS、更新时间和操作","基础设施状态字段","reviewed_visual"
"IMG-015","私人与共享/第五十六周周报/image 15.png","png","717x645","交易风控/算法交易","算法母单","高密度筛选表；证券/订单链接、状态、方向、算法和完成量","含内部账户/订单标识","reviewed_visual"
"IMG-016","私人与共享/第五十六周周报/image 16.png","png","729x860","交易风控/算法交易","算法绩效","TWAP/VWAP 双图、多选、日期刷新和日汇总表","内部算法绩效","reviewed_visual"
"IMG-017","私人与共享/第五十六周周报/image 17.png","png","731x737","交易风控/算法交易","算法延时-账户","股票/期货双表；平均与最大延时","含账户标识和延时","reviewed_visual"
"IMG-018","私人与共享/第五十六周周报/image 18.png","png","723x706","交易风控/算法交易","算法延时-交易与行情","四图仪表板；交易尖峰及沪深行情延时历史","基础设施性能数据","reviewed_visual"
"IMG-019","私人与共享/第五十六周周报/image 19.png","png","735x865","交易风控/RMS","风险标的","筛选、证券风险表和红色风险词标签","风险名单属于敏感业务信息","reviewed_visual"
"IMG-020","私人与共享/第五十六周周报/image 20.png","png","1893x884","交易风控/Genesis","OMS 成交左字段视图","深色多实例侧栏；生产/仿真/测试；成交表左侧字段","含服务地址、账户、操作员、订单和用户头像/姓名","reviewed_visual"
"IMG-021","私人与共享/第五十六周周报/image 21.png","png","1908x910","交易风控/Genesis","OMS 成交右字段与汇总","成交表右侧交易属性和底部买卖统计","含服务地址、账户、操作员、订单和用户头像/姓名","reviewed_visual"
"IMG-022","私人与共享/第五十六周周报/image 22.png","png","1895x859","交易风控/Genesis","OMS 划拨","持仓/资金划拨标签；方向、数量、价格、日期和备注","含服务地址、账户、订单及内部备注","reviewed_visual"
"IMG-023","私人与共享/第五十六周周报/image 23.png","png","1910x898","交易风控/Genesis","IMS 监控","深色策略聚合、成交明细和右侧方案树","含服务地址、账户、策略、操作员和用户头像/姓名","reviewed_visual"
"IMG-024","私人与共享/第五十六周周报/image 24.png","png","1896x865","量化投研/分析师行业覆盖","存量强势股","证券/行业大表、行业占比表与环图、行业收益柱图","研究结果与研究员信息","reviewed_visual"
"IMG-025","私人与共享/第五十六周周报/image 25.png","png","1897x874","量化投研/分析师行业覆盖","当日调入调出","调入/调出表、研究员入口和双环图","研究结果与研究员信息","reviewed_visual"
