title,url,product,capability,priority,key_evidence,accessed_on,discovered_in
Apollo,https://www.palantir.com/docs/apollo/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,AI Platform (AIP) | Analytics | Apollo — Documentation | Apollo — Getting started | Apollo — Reference | Data connectivity & integration | Developer toolchain | Gotham — Security | Management & enablement | Model connectivity & development | Observability | Ontology building | Product delivery | Security & governance | Use case development
apollo-cli publish [Deprecated],https://www.palantir.com/docs/apollo/apollo-cli-deprecated/apollo-cli_publish/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli publish helm-chart [Deprecated],https://www.palantir.com/docs/apollo/apollo-cli-deprecated/apollo-cli_publish_helm-chart/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli artifact-registry,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_artifact-registry/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli artifact-registry list,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_artifact-registry_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli changerequest,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_changerequest/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli changerequest approve,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_changerequest_approve/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli changerequest cancel,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_changerequest_cancel/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli changerequest get,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_changerequest_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli changerequest list,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_changerequest_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli changerequest reject,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_changerequest_reject/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli changerequest reopen,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_changerequest_reopen/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli configure,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_configure/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli cve,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_cve/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli cve check,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_cve_check/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli entity [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_entity/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli entity aggregate [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_entity_aggregate/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli entity enforce [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_entity_enforce/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli entity install [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_entity_install/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli entity list [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_entity_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment artifact-registry,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_artifact-registry/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment artifact-registry assign,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_artifact-registry_assign/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment artifact-registry list,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_artifact-registry_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment artifact-registry unassign,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_artifact-registry_unassign/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment config,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_config/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment config apply,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_config_apply/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment config get,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_config_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment create,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_create/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment delete,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_delete/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment get,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_get/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment list,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_list/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment manifest,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_manifest/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment manifest generate,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_manifest_generate/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment release-channel,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_release-channel/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment release-channel set,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_release-channel_set/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment version,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_version/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli environment version compare,https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_environment_version_compare/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
apollo-cli helm-chart [Experimental],https://www.palantir.com/docs/apollo/apollo-cli/apollo-cli_helm-chart/,Apollo,Apollo — Software delivery,P1,"Current official capability navigation entry; subsystem detail, implementation guidance, or API/tool documentation.",2026-07-27,Apollo — Reference
